Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Tag
How can I register for this event?,how-can-i-register-for-this-event,62befe747be4218460dadfa1,62bf077196e2ae723e0eb114,Fri Jul 01 2022 14:40:49 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:37:28 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:37:59 GMT+0000 (Coordinated Universal Time),"<p id="""">By registering via the eventbrite link we provided here: <a href=""https://www.eventbrite.com.au/e/careerfest-2022-tickets-362937304247""><em id="""">https://www.eventbrite.com.au/e/careerfest-2022-tickets-362937304247</em></a></p>",
How does the event work?,how-does-the-event-work,62befe747be4218460dadfa1,62bf0725e1bec555fb61ffab,Fri Jul 01 2022 14:39:33 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:37:13 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:37:59 GMT+0000 (Coordinated Universal Time),"<p id="""">Career Fest consists of two main events:</p><ul id=""""><li id="""">Webinar</li></ul><p id="""">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Students will have the opportunity to hear from and ask questions to industry professionals.&nbsp;</p><ul id=""""><li id="""">Networking &amp; Information Session</li></ul><p id="""">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Students will get to speak one-on-one with the desired companies/recruiters.</p><p id="""">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;In this event, students will also get more information about job openings from each company.</p><p id="""">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;- For more detail on the event schedule, please refer to our website.</p>",
Is this a free event?,is-this-a-free-event,62befe747be4218460dadfa1,62bf075d6f50ddd46ec3649e,Fri Jul 01 2022 14:40:29 GMT+0000 (Coordinated Universal Time),Fri Jul 01 2022 14:40:29 GMT+0000 (Coordinated Universal Time),Fri Jul 01 2022 15:15:23 GMT+0000 (Coordinated Universal Time),"<p>Yes, this event is created entirely for free.</p>",
What if I have to cancel my career attendant experience?,what-if-i-have-to-cancel-my-career-attendant-experience,62befe747be4218460dadfa1,62bf02729cefeb5cbaae0683,Fri Jul 01 2022 14:19:30 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:30:51 GMT+0000 (Coordinated Universal Time),Sat Jul 02 2022 12:33:19 GMT+0000 (Coordinated Universal Time),"<p id="""">By applying to the career fest PPIA 2022, you have an opportunity and experience to meet the employer directly.&nbsp; Participants use at least a week in advance; you should be able to follow through on this commitment.</p><p id="""">Suppose a student participant cannot follow through on their commitment to attending the career fest experience for any reason. In that case, the student participant MUST notify <strong id="""">the career fest admin </strong>within two business days of the career fest experience, except in the case of extenuating circumstances (such as natural disasters).</p>",
